"Submission Date","Bạn hiện có phải học viên chương trình AI20k đang học tại VinUni không?","Trong thời gian học tại VinUni, bạn đã từng cần tìm nơi lấy/refill nước nhưng không biết ở đâu chưa?","Tình huống này xảy ra với bạn thường xuyên như thế nào?","Lần gần nhất cần tìm nước, bạn đang ở khu vực nào?","Khi không biết điểm lấy nước ở đâu, bạn thường làm gì?","Thông thường bạn mất bao lâu để tìm được khu vực nước uống?","Theo bạn, điều gì khiến việc tìm khu vực nước uống tại VinUni khó nhất?","Hiện tại bạn biết khoảng bao nhiêu vị trí có thể lấy/refill nước tại khu vực mình thường học?","Nếu có công cụ hỗ trợ tìm điểm nước, thông tin nào hữu ích nhất với bạn?","Nếu được cải thiện một điều về việc tìm khu vực nước uống tại VinUni, bạn muốn điều gì?","Bạn có sẵn sàng dành khoảng 3–5 phút để dùng thử prototype Vmap sau khi nhóm hoàn thành không?","Discord / thông tin liên hệ để nhóm mời bạn test:"
"Sep 17, 2026",Có,Có,"Thỉnh thoảng","Phòng học","Đi mua nước","3–5 phút","Không biết điểm nước nằm ở đâu",1,"Điểm nước gần nhất",,Không,
"Sep 17, 2026",Có,Có,"Khá thường xuyên","Phòng học","Đi mua nước","Trên 5 phút","Thiếu / khó thấy biển chỉ dẫn",1,"Điểm nước gần nhất",,Không,
"Sep 17, 2026",Có,Có,"Thỉnh thoảng","Phòng học","Đi mua nước","3–5 phút","Không biết điểm nước nằm ở đâu",2,"Điểm nước gần nhất",,Không,
"Sep 17, 2026",Có,Có,"Thỉnh thoảng","Sảnh / hành lang","Tự đi tìm xung quanh","1–3 phút","Không biết điểm nước nằm ở đâu",2,"Điểm nước gần nhất",,Không,
"Sep 17, 2026",Có,Có,"Khá thường xuyên","Khu vực ngoài trời","Hỏi nhân viên / bảo vệ
Đi mua nước","1–3 phút","Thiếu / khó thấy biển chỉ dẫn
Campus rộng, khó định hướng
Không biết điểm nào gần nhất
Không biết điểm nước có đang sử dụng được không",1,"Tầng / khu vực
Landmark gần đó
Khoảng cách / thời gian đi bộ",,Có,
"Sep 17, 2026",Có,Không,"Thỉnh thoảng","Phòng học","Tự đi tìm xung quanh","1–3 phút","Không biết điểm nước nằm ở đâu",1,"Điểm nước gần nhất",,Không,
"Sep 17, 2026",Có,Không,"Thỉnh thoảng",Auditorium,"Đi mua nước","Trên 5 phút","Thiếu / khó thấy biển chỉ dẫn",0,"Điểm nước gần nhất",,Không,
"Sep 17, 2026",Có,Có,"Chỉ 1 lần","Sảnh / hành lang","Hỏi bạn bè / người xung quanh
Tự đi tìm xung quanh","1–3 phút","Campus rộng, khó định hướng
Không biết điểm nào gần nhất","3 trở lên","Điểm nước gần nhất
Điểm đó có refill bình được không
Điểm đó hiện có hoạt động không",ko,Có,
"Sep 17, 2026",Có,Có,"Khá thường xuyên","Phòng học","Tự đi tìm xung quanh","3–5 phút","Không biết điểm nước nằm ở đâu",2,"Điểm nước gần nhất",,Không,
"Sep 17, 2026",Có,Có,"Thỉnh thoảng","Phòng học","Hỏi bạn bè / người xung quanh
Hỏi nhân viên / bảo vệ","Trên 5 phút","Không biết điểm nước nằm ở đâu",2,"Điểm nước gần nhất",,Có,
"Sep 18, 2026",Có,Có,Thỉnh thoảng,Thư viện,Tự đi tìm xung quanh,3–5 phút,"Campus rộng, khó định hướng",1,Điểm nước gần nhất,,Có,
"Sep 18, 2026",Có,Có,Khá thường xuyên,Phòng học,Hỏi bạn bè / người xung quanh,1–3 phút,Không biết điểm nước nằm ở đâu,2,"Điểm nước gần nhất
Điểm đó có refill bình được không",Thêm biển báo chỉ dẫn,Không,
"Sep 18, 2026",Có,Có,Thỉnh thoảng,Sảnh / hành lang,"Đi mua nước
Tự đi tìm xung quanh",Trên 5 phút,"Thiếu / khó thấy biển chỉ dẫn
Campus rộng, khó định hướng",0,Tầng / khu vực,,Có,
"Sep 18, 2026",Có,Không,Chỉ 1 lần,Khu thể thao,Hỏi nhân viên / bảo vệ,1–3 phút,Không biết điểm nước nằm ở đâu,3 trở lên,Khoảng cách / thời gian đi bộ,ko,Không,
"Sep 18, 2026",Có,Có,Thỉnh thoảng,Phòng học,Tự đi tìm xung quanh,3–5 phút,Không biết điểm nào gần nhất,2,Điểm nước gần nhất,,Có,discord_user_123
"Sep 18, 2026",Có,Có,Khá thường xuyên,Thư viện,Đi mua nước,Trên 5 phút,"Thiếu / khó thấy biển chỉ dẫn
Không biết điểm nước có đang sử dụng được không",1,"Điểm nước gần nhất
Điểm đó hiện có hoạt động không",,Không,
"Sep 18, 2026",Có,Có,Thỉnh thoảng,Sảnh / hành lang,Hỏi bạn bè / người xung quanh,1–3 phút,"Campus rộng, khó định hướng",2,Tầng / khu vực,,Không,
"Sep 18, 2026",Có,Có,Thỉnh thoảng,Khu vực ngoài trời,Hỏi nhân viên / bảo vệ,Trên 5 phút,Không biết điểm nước nằm ở đâu,0,Landmark gần đó,Cần có bản đồ rõ ràng hơn,Có,
"Sep 18, 2026",Có,Có,Thỉnh thoảng,Auditorium,"Đi mua nước
Hỏi bạn bè / người xung quanh",3–5 phút,Thiếu / khó thấy biển chỉ dẫn,1,Điểm nước gần nhất,,Không,
"Sep 18, 2026",Có,Có,Chỉ 1 lần,Phòng học,Tự đi tìm xung quanh,1–3 phút,Không biết điểm nước nằm ở đâu,3 trở lên,Khoảng cách / thời gian đi bộ,,Có,ai_learner_99
"Sep 18, 2026",Có,Không,Thỉnh thoảng,Thư viện,Tự đi tìm xung quanh,3–5 phút,Không biết điểm nào gần nhất,2,Điểm nước gần nhất,,Không,
